# sipm fit_mean fit_sigma fit_mean_err fit_sigma_err rank
8 0.0644005 0.00765698 8.0139e-05 5.39593e-05 1
12 0.0632001 0.00545055 5.51025e-05 4.11588e-05 2
4 0.0631678 0.00536743 5.41248e-05 4.05263e-05 3
14 0.0631178 0.0053365 5.40502e-05 3.90719e-05 4
3 0.0630969 0.00584633 5.96786e-05 4.47197e-05 5
10 0.0630842 0.00532639 5.42853e-05 3.88402e-05 6
15 0.0630679 0.00567645 5.78517e-05 4.40441e-05 7
7 0.0630497 0.00510872 5.18892e-05 3.64911e-05 8
9 0.0629972 0.00573675 5.84117e-05 4.38506e-05 9
2 0.0629786 0.00532282 5.3808e-05 3.77395e-05 10
1 0.0629756 0.00522598 5.2789e-05 3.85745e-05 11
13 0.062947 0.00519297 5.24042e-05 3.89137e-05 12
11 0.0629467 0.00505593 5.09246e-05 3.74801e-05 13
5 0.0629318 0.00522467 5.27186e-05 3.82657e-05 14
6 0.0629171 0.00540286 5.48132e-05 4.11468e-05 15
0 0.0529137 0.00477268 4.8433e-05 3.52212e-05 16
# order 8,12,4,14,3,10,15,7,9,2,1,13,11,5,6,0
