# sipm mean_fraction err_fraction rank
11 0.0765227 5.90021e-05 1
5 0.0706059 5.67687e-05 2
13 0.0688652 5.49206e-05 3
1 0.0686193 5.48917e-05 4
7 0.0663814 5.22133e-05 5
10 0.0663282 5.41798e-05 6
4 0.0651233 5.46929e-05 7
2 0.0646177 5.30159e-05 8
8 0.0641128 7.60463e-05 9
14 0.0630988 5.35785e-05 10
12 0.0607917 5.15837e-05 11
15 0.0547946 4.8728e-05 12
6 0.0541157 4.87441e-05 13
0 0.0532132 4.6384e-05 14
3 0.0518474 4.84058e-05 15
9 0.0509621 4.63233e-05 16
# order 11,5,13,1,7,10,4,2,8,14,12,15,6,0,3,9
