# sipm fit_mean fit_sigma fit_mean_err fit_sigma_err rank
8 0.0644713 0.00758534 7.97183e-05 5.20754e-05 1
12 0.0632069 0.00545393 5.5431e-05 4.32998e-05 2
4 0.063173 0.00540552 5.48865e-05 4.1262e-05 3
14 0.0631116 0.00535462 5.43767e-05 4.11442e-05 4
15 0.0630791 0.00566511 5.80959e-05 4.54845e-05 5
10 0.0630752 0.00529142 5.37947e-05 4.0572e-05 6
3 0.0630688 0.00580496 5.96419e-05 4.58501e-05 7
7 0.0630382 0.00509447 5.17581e-05 3.79809e-05 8
1 0.0629888 0.00521938 5.29145e-05 4.01199e-05 9
9 0.0629667 0.00577796 5.93156e-05 4.61456e-05 10
2 0.0629526 0.00533205 5.41296e-05 3.93623e-05 11
5 0.0629327 0.00523044 5.2944e-05 3.94872e-05 12
13 0.0629298 0.00519112 5.25579e-05 4.08902e-05 13
6 0.0629267 0.00544272 5.54594e-05 4.29087e-05 14
11 0.0629006 0.00506548 5.21973e-05 4.02632e-05 15
0 0.052913 0.00475987 4.83829e-05 3.71577e-05 16
# order 8,12,4,14,15,10,3,7,1,9,2,5,13,6,11,0
